OTU_ID	14A0247_8	14A0051_8	14A0381_26	14A0533_26	14A0295_8	14A0169_26	14A0069_8	14A0497_26	14A0023_8	14A0547_26	14A0572_26	14A0451_26	14A0569_26	14A0001_8	14A0101_8	14A0385_26	14A0501_26	14A0577_8	14A0253_26	14A0171_26	14A0307_26	14A0485_26	14A0493_26	14A0397_26	14A0511_26	14A0487_26	14A0479_26	14A0087_26	14A0566_26	14A0081_8	14A0495_26	14A0565_26	14A0411_26	14A0369_26	14A0443_26	14A0271_8	14A0439_26	14A0453_26	14A0455_26	14A0549_26	14A0519_26	14A0447_26	14A0529_26	14A0419_26	14A0421_26	14A0349_26	14A0223_26	14A0475_26	14A0437_26	14A0473_26	14A0309_26	14A0539_26	14A0491_26	14A0459_26	14A0333_26	14A0240_26	14A0355_26	14A0277_8	14A0423_26	14A0209_26	14A0401_26	14A0403_26	14A0507_26	14A0329_26	14A0441_26	14A0317_26	14A0103_8	14A0283_8	14A0371_26	14A0461_26	14A0405_26	14A0313_8	14A0211_26	14A0261_8	14A0011_8	14A0564_26	14A0039_8	14A0573_26	14A0031_8	14A0025_8	14A0457_26	14A0047_8	14A0513_26	14A0225_8	14A0505_26	14A0425_26	14A0073_8	14A0221_26	14A0445_8	14A0255_8	14A0465_26	14A0113_26	14A0463_26	14A0005_8	14A0017_8	14A0045_8	14A0067_8	14A0407_26	14A0413_26	14A0477_26	14A0574_26	14A0361_26	14A0269_26	14A0389_26	14A0319_26	14A0331_26	14A0471_26	14A0297_8	14A0003_8	14A0091_8	14A0383_26	14A0395_8	14A0351_26	14A0449_26	14A0321_8	14A0483_26	14A0053_8	14A0285_26	14A0467_26	14A0429_26	14A0521_26	14A0049_8	14A0469_26	14A0337_26	14A0305_8	14A0427_26	14A0357_8	14A0273_26	14A0019_8	14A0027_8	14A0275_8	14A0576_8	14A0339_8	14A0015_8	14A0083_8	14A0215_26	14A0157_26	14A0075_8	14A0353_26	14A0079_26	14A0055_8	14A0523_26	14A0097_8	14A0021_8	14A0299_26	14A0063_8	14A0095_8	14A0231_8	14A0065_8	14A0085_8	14A0057_8	14A0013_8	14A0059_8	14A0035_8	14A0387_26	14A0240_8	14A0393_8	14A0291_8	14A0343_8	14A0373_26	14A0359_26	14A0377_8	14A0325_8	14A0043_8	14A0033_8	14A0105_8	14A0345_8	14A0267_8	14A0009_8	14A0007_8	14A0093_26	14A0137_26	14A0265_8	14A0155_26	14A0167_26	14A0481_26
969149	0.0	21.0	10.0	1.0	2.0	30.0	0.0	4.0	1.0	1.0	3.0	3.0	0.0	6.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	2.0	8.0	4.0	1.0	12.0	25.0	3.0	3.0	0.0	0.0	14.0	35.0	4.0	44.0	0.0	3.0	0.0	1.0	2.0	6.0	23.0	0.0	15.0	23.0	0.0	5.0	5.0	3.0	10.0	5.0	0.0	10.0	21.0	31.0	7.0	0.0	0.0	2.0	1.0	1.0	0.0	3.0	8.0	12.0	3.0	0.0	0.0	3.0	31.0	7.0	0.0	0.0	16.0	2.0	133.0	1.0	4.0	0.0	1.0	319.0	8.0	2.0	1.0	1.0	19.0	1.0	0.0	1.0	0.0	8.0	3.0	13.0	0.0	6.0	1.0	1.0	0.0	9.0	1.0	9.0	1.0	9.0	0.0	0.0	0.0	8.0	1.0	16.0	0.0	0.0	1.0	1.0	10.0	12.0	7.0	6.0	16.0	5.0	19.0	3.0	9.0	1.0	1.0	2.0	17.0	4.0	2.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3486915	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	3.0	2.0	4.0	0.0	17.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	9.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	2.0	1.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	62.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	13.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	10.0	12.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	3.0	1.0	0.0	1.0	4.0	14.0	28.0	1.0	3.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	19.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
808437	1.0	15.0	2.0	41.0	0.0	7.0	3.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	1.0	5.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	4.0	3.0	2.0	0.0	3.0	0.0	0.0	15.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	1.0	2.0	2.0	0.0	23.0	6.0	0.0	0.0	3.0	0.0	1.0	11.0	0.0	7.0	0.0	0.0	2.0	0.0	4.0	64.0	23.0	2.0	1.0	2.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	16.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	1.0	17.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0
750840	0.0	0.0	4.0	9.0	1.0	1.0	0.0	2.0	7.0	18.0	17.0	1.0	9.0	2.0	0.0	4.0	4.0	7.0	3.0	2.0	1.0	2.0	4.0	3.0	14.0	8.0	3.0	77.0	3.0	7.0	3.0	106.0	14.0	4.0	13.0	0.0	1.0	10.0	3.0	9.0	7.0	6.0	17.0	3.0	7.0	0.0	1.0	0.0	1.0	6.0	2.0	106.0	11.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	10.0	28.0	1.0	3.0	0.0	0.0	0.0	2.0	44.0	7.0	13.0	4.0	0.0	2.0	2.0	7.0	1.0	21.0	3.0	0.0	4.0	4.0	9.0	0.0	0.0	5.0	0.0	3.0	11.0	22.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	97.0	3.0	32.0	0.0	1.0	0.0	4.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	25.0	87.0	0.0	3.0	0.0	88.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	2.0	1.0	0.0	136.0	10.0	0.0	10.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	15.0	0.0	110.0	6.0	0.0	0.0	0.0	1.0	16.0	0.0	2.0	2.0	0.0	2.0	3.0
542475	0.0	0.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	6.0	0.0	2.0	2.0	0.0	6.0	8.0	2.0	1.0	1.0	4.0	6.0	1.0	0.0	7.0	1.0	0.0	2.0	0.0	5.0	0.0	3.0	2.0	3.0	7.0	4.0	1.0	0.0	13.0	5.0	0.0	0.0	2.0	3.0	1.0	1.0	146.0	1.0	7.0	4.0	0.0	5.0	0.0	5.0	4.0	1.0	2.0	21.0	8.0	1.0	2.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	1.0	38.0	1.0	0.0	4.0	11.0	103.0	3.0	9.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	3.0	154.0	53.0	9.0	0.0	1.0	11.0	4.0	3.0	0.0	0.0	9.0	2.0	0.0	1.0	0.0	29.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	9.0	2.0	5.0	3.0	1.0	14.0	1.0	1.0	2.0	0.0	0.0	0.0	17.0	4.0	0.0	0.0	4.0	284.0	1.0	0.0	3.0	2.0	0.0	1.0	0.0	1.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	13.0	47.0	0.0	440.0	0.0	1.0	2.0	2.0	4.0	2.0	3.0	4.0	1.0	11.0	11.0	8.0	0.0	0.0	10.0	72.0	0.0	0.0	0.0	1.0	8.0	0.0
332954	1.0	1.0	0.0	0.0	0.0	5.0	1.0	0.0	4.0	2.0	0.0	7.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	5.0	0.0	4.0	0.0	0.0	8.0	2.0	1.0	0.0	1.0	3.0	1.0	4.0	1.0	10.0	0.0	1.0	2.0	1.0	0.0	2.0	1.0	2.0	0.0	0.0	7.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0	1.0	0.0	0.0	1.0	0.0	3.0	1.0	3.0	0.0	4.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	9.0	4.0	0.0	4.0	6.0	1.0	0.0	9.0	2.0	1.0	1.0	3.0	2.0	7.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	2.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
162149	1.0	188.0	0.0	12.0	537.0	10.0	1.0	8.0	33.0	2.0	9.0	3.0	8.0	0.0	0.0	0.0	2.0	4.0	0.0	2.0	0.0	4.0	0.0	2.0	1.0	2.0	7.0	73.0	6.0	1.0	3.0	84.0	4.0	0.0	4.0	0.0	3.0	0.0	0.0	12.0	2.0	52.0	506.0	2.0	1.0	0.0	0.0	277.0	3.0	8.0	0.0	26.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	2.0	4.0	1.0	1.0	1.0	0.0	101.0	3.0	0.0	1.0	1.0	3.0	12.0	1.0	2.0	0.0	21.0	2.0	0.0	1.0	1.0	1.0	3.0	1.0	1.0	0.0	0.0	421.0	163.0	0.0	0.0	4.0	0.0	0.0	0.0	7.0	0.0	12.0	4.0	35.0	2.0	2.0	0.0	0.0	0.0	1.0	73.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	3.0	0.0	5.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	21.0	0.0	0.0	1.0	0.0	0.0	14.0	0.0	23.0	0.0	0.0	2.0	0.0	1.0	1.0	5.0	0.0	0.0	7.0	0.0	0.0	0.0	11.0	3.0	5.0	1.0	0.0	14.0	0.0	0.0	0.0	12.0	5.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
107137	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	3.0	0.0	2.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	32.0	2.0	2.0	0.0	14.0	9.0	0.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	77.0	1477.0	411.0	0.0	0.0	2.0	0.0	0.0	2.0	19.0	1.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	159.0	0.0	1.0	0.0	0.0	1.0	4.0	8.0	3.0	0.0	57.0	0.0	60.0	0.0	0.0	49.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	9.0	0.0	1.0	0.0	0.0	1.0	0.0
763910	0.0	2.0	2.0	28.0	30.0	144.0	232.0	1.0	9.0	3.0	10.0	0.0	81.0	0.0	0.0	4.0	0.0	96.0	0.0	0.0	5.0	2.0	0.0	5.0	6.0	0.0	7.0	0.0	4.0	800.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	4.0	0.0	38.0	0.0	0.0	398.0	0.0	1.0	0.0	0.0	25.0	0.0	2.0	8.0	61.0	0.0	0.0	8.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	2.0	766.0	1.0	0.0	1.0	15.0	5.0	66.0	5.0	19.0	0.0	13.0	12.0	2.0	3.0	0.0	18.0	0.0	3.0	38.0	9.0	0.0	6890.0	78.0	0.0	0.0	11.0	0.0	60.0	0.0	12.0	0.0	3.0	3.0	90.0	0.0	0.0	0.0	0.0	0.0	487.0	172.0	3.0	1.0	2.0	142.0	12.0	2.0	4.0	0.0	1.0	0.0	0.0	0.0	37.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	8.0	0.0	0.0	2.0	0.0	16.0	5.0	0.0	0.0	0.0	3.0	4.0	1.0	53.0	0.0	17.0	0.0	5.0	0.0	0.0	1.0	1.0	71.0	8.0	793.0	0.0	0.0	260.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0
928829	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	8.0	6.0	0.0	0.0	1.0	10.0	0.0	0.0	1.0	2.0	1.0	3.0	64.0	10.0	4.0	6.0	6.0	1.0	2.0	1.0	9.0	352.0	6.0	1.0	0.0	1.0	0.0	0.0	20.0	9.0	0.0	3.0	1.0	4.0	3.0	2.0	2.0	0.0	3.0	10.0	3.0	2.0	7.0	25.0	6.0	0.0	1.0	5.0	0.0	12.0	11.0	1.0	349.0	3.0	5.0	1.0	0.0	0.0	18.0	52.0	0.0	0.0	18.0	0.0	1.0	9.0	11.0	7.0	65.0	5.0	49.0	5.0	0.0	8.0	8.0	1.0	29.0	2.0	3.0	6.0	0.0	65.0	0.0	1.0	6.0	2.0	37.0	113.0	9.0	59.0	1.0	0.0	50.0	2.0	0.0	16.0	1.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	16.0	1446.0	5.0	0.0	27.0	5.0	4.0	4.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	1.0	1.0	1.0	45.0	1.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	24.0	0.0
561885	592.0	8201.0	25.0	81.0	8683.0	1901.0	5139.0	574.0	645.0	151.0	135.0	156.0	974.0	17.0	316.0	245.0	1275.0	150.0	6.0	30.0	15.0	590.0	40.0	52.0	566.0	7704.0	82.0	406.0	158.0	10758.0	98.0	2507.0	408.0	32.0	34.0	476.0	278.0	73.0	9.0	599.0	104.0	375.0	2224.0	408.0	33.0	1.0	5.0	216.0	11.0	86.0	18.0	306.0	114.0	40.0	52.0	1.0	9.0	1.0	5.0	5.0	62.0	41.0	115.0	26.0	12.0	1.0	4971.0	5156.0	49.0	3202.0	99.0	1479.0	73.0	1741.0	9.0	85.0	11.0	158.0	322.0	29.0	9.0	35.0	177.0	207.0	129.0	617.0	705.0	12.0	2754.0	4558.0	17.0	3.0	141.0	0.0	249.0	20.0	2021.0	59.0	1582.0	23.0	283.0	87.0	32.0	28.0	2.0	7.0	616.0	11992.0	15.0	4251.0	30.0	123.0	1104.0	428.0	133.0	14.0	274.0	9.0	8.0	15.0	149.0	3.0	24.0	3.0	98.0	28.0	3134.0	3.0	3.0	13.0	107.0	87.0	1831.0	16.0	623.0	513.0	34.0	459.0	60.0	18.0	28.0	313.0	4.0	12.0	17.0	456.0	23.0	658.0	2158.0	1804.0	9.0	94.0	12.0	147.0	7.0	17.0	144.0	79.0	4795.0	4.0	14.0	1051.0	304.0	2.0	33.0	1226.0	55.0	4.0	1.0	4.0	1.0	32.0	3.0	4.0	1.0	4.0
487725	3.0	1.0	2.0	1.0	2.0	30.0	51.0	3.0	29.0	2.0	0.0	11.0	1.0	1.0	1.0	5.0	3.0	4.0	0.0	2.0	2.0	3.0	4.0	1.0	0.0	1.0	2.0	18.0	0.0	24.0	6.0	0.0	6.0	1.0	1.0	2.0	1.0	3.0	0.0	1.0	1.0	31.0	9.0	7.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	41.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	22.0	0.0	5.0	0.0	0.0	1.0	16.0	10.0	3.0	1.0	7.0	7.0	0.0	36.0	2.0	1.0	1.0	2.0	21.0	2.0	0.0	1.0	3.0	2.0	2.0	12.0	8.0	1.0	47.0	34.0	1.0	1.0	9.0	1.0	75.0	1.0	10.0	5.0	9.0	2.0	0.0	1.0	37.0	0.0	0.0	0.0	7.0	3.0	0.0	1.0	4.0	4.0	11.0	15.0	3.0	0.0	0.0	2.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0	55.0	3.0	0.0	14.0	1.0	0.0	0.0	1.0	60.0	8.0	0.0	0.0	10.0	2.0	0.0	3.0	0.0	4.0	2.0	0.0	2.0	0.0	8.0	2.0	9.0	11.0	4765.0	0.0	4.0	2.0	0.0	3.0	4.0	29.0	0.0	1.0	3.0	1.0	1.0	1.0	4.0	0.0	0.0	1.0	2.0	0.0	4.0	0.0	1.0	1.0	1.0
1080980	3.0	1.0	8.0	2.0	0.0	1.0	4.0	0.0	0.0	33.0	58.0	16.0	12.0	0.0	0.0	1.0	20.0	30.0	1.0	0.0	0.0	4.0	5.0	6.0	4.0	9.0	3.0	0.0	4.0	0.0	8.0	21.0	8.0	22.0	12.0	0.0	13.0	3.0	2.0	29.0	1.0	1.0	2.0	0.0	12.0	3.0	0.0	0.0	0.0	4.0	7.0	6.0	1.0	5.0	0.0	0.0	1.0	1.0	0.0	0.0	147.0	1.0	14.0	1.0	10.0	0.0	1.0	0.0	384.0	0.0	4.0	0.0	0.0	5.0	0.0	5.0	0.0	11.0	2.0	0.0	0.0	0.0	22.0	4.0	1.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	22.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	6.0	3.0	35.0	16.0	5.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	4.0	4.0	1.0	1.0	0.0	0.0	0.0	41.0	16.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	3.0	2.0	0.0	1.0	0.0	4.0	2.0	5.0	0.0	0.0	2.0	1.0	6.0	2.0	1.0	2.0	0.0	1.0	0.0	2.0	1.0	0.0	10.0	2.0	0.0	0.0	1.0
186518	23.0	7.0	35.0	33.0	13.0	1165.0	32.0	64.0	20.0	39.0	20.0	45.0	18.0	5.0	4.0	1263.0	15.0	24.0	4.0	91.0	76.0	19.0	9.0	8.0	567.0	2.0	58.0	173.0	49.0	2674.0	96.0	468.0	13.0	11.0	2.0	2.0	145.0	0.0	6.0	214.0	63.0	343.0	272.0	1.0	4.0	3.0	946.0	26.0	31.0	844.0	3.0	26.0	1065.0	11.0	4.0	117.0	4.0	2.0	0.0	1.0	14.0	16.0	109.0	2.0	9.0	8.0	155.0	8794.0	10.0	3.0	52.0	1.0	2.0	143.0	800.0	23.0	20.0	20.0	9.0	75.0	4.0	216.0	106.0	15.0	15.0	50.0	154.0	7.0	5385.0	21.0	4.0	1.0	2366.0	4782.0	1268.0	66.0	33.0	55.0	347.0	9.0	150.0	227.0	13.0	90.0	5.0	1.0	31.0	17.0	1882.0	6.0	402.0	2.0	3.0	30.0	18.0	16.0	74.0	17.0	639.0	1.0	130.0	13.0	217.0	0.0	1.0	111.0	201.0	1.0	22.0	25.0	2.0	2.0	34.0	875.0	12.0	35.0	6.0	415.0	0.0	12.0	25.0	49.0	7.0	67.0	1.0	1235.0	11.0	6.0	195.0	13.0	807.0	2247.0	1.0	513.0	12.0	2297.0	14.0	5.0	933.0	31.0	17.0	56.0	7.0	3.0	11.0	189.0	3.0	12.0	230.0	105.0	4.0	5.0	1.0	0.0	1.0	2.0
580992	5.0	3.0	298.0	1.0	13.0	10.0	4.0	7.0	8.0	19.0	100.0	14.0	28.0	102.0	4.0	16.0	52.0	100.0	63.0	32.0	70.0	4.0	30.0	51.0	59.0	17.0	0.0	108.0	44.0	13.0	17.0	172.0	318.0	20.0	34.0	2.0	67.0	44.0	19.0	24.0	17.0	15.0	337.0	2.0	12.0	117.0	2.0	2.0	12.0	437.0	27.0	63.0	84.0	26.0	29.0	66.0	5.0	38.0	1.0	12.0	136.0	51.0	52.0	453.0	0.0	3.0	11.0	35.0	208.0	70.0	33.0	10.0	19.0	2806.0	1169.0	73.0	5.0	48.0	25.0	79.0	7.0	25.0	6.0	8.0	26.0	11.0	1.0	18.0	13.0	9.0	2.0	15.0	46.0	1128.0	19.0	21.0	10.0	110.0	361.0	20.0	72.0	13.0	507.0	23.0	61.0	4.0	15.0	22.0	1617.0	5.0	148.0	8.0	83.0	148.0	17.0	9.0	24.0	15.0	79.0	6.0	32.0	33.0	16.0	3.0	21.0	108.0	0.0	8.0	6.0	24.0	10.0	2.0	41.0	726.0	3.0	0.0	32.0	41.0	13.0	18.0	6.0	5.0	3.0	31.0	3.0	7.0	8.0	6.0	2.0	2.0	125.0	42.0	20.0	185.0	5.0	127.0	11.0	16.0	16.0	51.0	10.0	6.0	26.0	64.0	38.0	17.0	2.0	8.0	171.0	272.0	5.0	34.0	4.0	2.0	18.0	5.0
444896	0.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	31.0	5.0	62.0	0.0	0.0	2.0	0.0	2.0	0.0	10.0	2.0	1.0	1.0	2.0	10.0	11.0	5.0	0.0	2.0	0.0	2.0	4.0	0.0	0.0	1.0	0.0	1.0	17.0	0.0	0.0	0.0	3.0	4.0	8.0	1.0	0.0	2.0	24.0	2.0	0.0	1.0	1.0	161.0	12.0	8.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	16.0	2.0	2.0	0.0	2.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	35.0	0.0	0.0	0.0	4.0	6.0	0.0	5.0	6.0	15.0	9.0	10.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	25.0	4.0	0.0	0.0	1.0	8.0	55.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	6.0	0.0	20.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	66.0	2.0	0.0	11.0	0.0	20.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	14.0	0.0
582921	0.0	4.0	1.0	0.0	9.0	9.0	5.0	0.0	0.0	3.0	2.0	0.0	6.0	1.0	0.0	2.0	1.0	4.0	0.0	2.0	2.0	5.0	1.0	10.0	1.0	4.0	0.0	1.0	0.0	11.0	0.0	57.0	4.0	2.0	0.0	1.0	0.0	1.0	0.0	9.0	0.0	0.0	22.0	1.0	3.0	3.0	0.0	0.0	4.0	1.0	0.0	7.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	6.0	6.0	0.0	0.0	5.0	3.0	1.0	16.0	1.0	1.0	0.0	3.0	0.0	5.0	0.0	2.0	1.0	1.0	0.0	1.0	6.0	2.0	2.0	5.0	0.0	1.0	6.0	1.0	0.0	0.0	3.0	1.0	1.0	0.0	5.0	27.0	10.0	0.0	6.0	0.0	1.0	0.0	0.0	1.0	3.0	4.0	4.0	2.0	0.0	1.0	0.0	3.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	7.0	0.0	2.0	4.0	46.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	3.0	1.0	9.0	7.0	0.0	4.0	0.0	0.0	1.0	5.0	4.0	0.0	0.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0
